192.168.1.10 - - [10/Mar/2026:13:55:36 +0000] "GET /home HTTP/1.1" 200 1200
192.168.1.09 - - [10/Mar/2026:13:59:37 +0000] "GET /admin HTTP/1.1" 200 500
192.168.1.99 - - [10/Mar/2026:14:05:38 +0000] "POST /login HTTP/1.1" 401 300
192.168.1.99 - - [10/Mar/2026:14:05:39 +0000] "POST /login HTTP/1.1" 401 300
192.168.1.99 - - [10/Mar/2026:14:05:40 +0000] "POST /login HTTP/1.1" 401 300
192.168.1.99 - - [10/Mar/2026:14:05:41 +0000] "POST /login HTTP/1.1" 401 300
192.168.1.99 - - [10/Mar/2026:14:05:42 +0000] "POST /login HTTP/1.1" 401 300
192.168.1.99 - - [10/Mar/2026:14:05:43 +0000] "POST /login HTTP/1.1" 401 300
192.168.1.99 - - [10/Mar/2026:14:05:44 +0000] "POST /login HTTP/1.1" 401 300
192.168.1.99 - - [10/Mar/2026:14:05:45 +0000] "POST /login HTTP/1.1" 401 300
192.168.1.99 - - [10/Mar/2026:14:05:46 +0000] "POST /login HTTP/1.1" 401 300
192.168.1.19 - - [10/Mar/2026:14:55:41 +0000] "GET /.env HTTP/1.1" 200 100
